caso,nodo_u,nodo_v,dist_km,SKR_bits_pulso,viable_QKD
CyL,Herrera de Pisuerga,Cervera de Pisuerga,33.14601331121587,0.004082069688182151,True
CyL,Herrera de Pisuerga,Saldaña,34.16638088976796,0.0038940501739689187,True
CyL,Torquemada,Carrión de los Condes,41.11493536247937,0.0028248407729516115,True
CyL,Torquemada,Venta de Baños,19.110325293391718,0.00781431794819085,True
CyL,Torquemada,Palencia,17.640191127126524,0.008365178437409321,True
CyL,Torquemada,Paredes de Nava,33.6334727324013,0.003991138299933858,True
CyL,Carrión de los Condes,Palencia,36.767102533034645,0.0034531412206673896,True
CyL,Carrión de los Condes,Paredes de Nava,22.03956123502055,0.0068230036385439185,True
CyL,Carrión de los Condes,Saldaña,23.175600859551707,0.006473461809911901,True
CyL,Cervera de Pisuerga,Saldaña,42.83007483244693,0.0026097198726723015,True
CyL,Venta de Baños,Palencia,10.60055649051156,0.011596029915833157,True
CyL,Venta de Baños,Paredes de Nava,30.622598201670513,0.004587076244901021,True
CyL,Venta de Baños,Zaratán,37.620162527045075,0.0033197023416202086,True
CyL,Venta de Baños,Santovenia de Pisuerga,29.718626214096574,0.0047828462418115,True
CyL,Venta de Baños,Traspinedo,38.431512505290144,0.0031975834573047856,True
CyL,Palencia,Paredes de Nava,20.626358759429614,0.0072844095891332955,True
CyL,Palencia,Zaratán,44.342309924928905,0.002433693206168916,True
CyL,Palencia,Santovenia de Pisuerga,37.45874645933703,0.0033445492070718376,True
CyL,Paredes de Nava,Saldaña,41.20475259377612,0.0028131471654348314,True
CyL,Terradillos,Salamanca,17.21255483863661,0.00853262798950667,True
CyL,Terradillos,Villoria,22.236909660861553,0.006760949862999041,True
CyL,Terradillos,Guijuelo,33.534707814020926,0.004009396556266406,True
CyL,Terradillos,Peñaranda de Bracamonte,29.427494430412185,0.00484766282485146,True
CyL,Terradillos,Fuentesaúco,43.48228368974393,0.0025322904116681535,True
CyL,Alberca (La),Béjar,31.48083959806805,0.004408650733208711,True
CyL,Alberca (La),Ciudad Rodrigo,36.79427009497445,0.003448809847213292,True
CyL,Alberca (La),Fuente de San Esteban (La),36.9176161253656,0.0034292129217637904,True
CyL,Alberca (La),Guijuelo,37.707504468379746,0.003306334933134555,True
CyL,Aldeadávila de la Ribera,Lumbrales,32.48431158120508,0.00420883662927342,True
CyL,Aldeadávila de la Ribera,Vitigudino,27.814300026551166,0.005223121530800054,True
CyL,Aldeadávila de la Ribera,Fermoselle,21.66473967624044,0.006942441347284066,True
CyL,Salamanca,Villoria,24.429501944849832,0.006108492413706115,True
CyL,Salamanca,Ledesma,31.503597088385302,0.004404015456749967,True
CyL,Salamanca,Peñaranda de Bracamonte,39.24532384087399,0.003079613803316431,True
CyL,Salamanca,Fuentesaúco,32.53654353736477,0.004198688288778213,True
CyL,Béjar,Guijuelo,20.61750001882635,0.007287398684586148,True
CyL,Villoria,Peñaranda de Bracamonte,17.593334753970524,0.008383363595677474,True
CyL,Villoria,Fuentesaúco,28.046367240198553,0.005167363982661701,True
CyL,Ciudad Rodrigo,Fuente de San Esteban (La),31.91145770977503,0.004321765495694057,True
CyL,Ciudad Rodrigo,Fuentes de Oñoro,24.37641657553475,0.006123516561096391,True
CyL,Ciudad Rodrigo,Lumbrales,41.05036829405583,0.002833277034670717,True
CyL,Fuente de San Esteban (La),Ledesma,38.85074029483085,0.0031362578483463644,True
CyL,Fuente de San Esteban (La),Lumbrales,41.43790001463019,0.0027830186155847754,True
CyL,Fuente de San Esteban (La),Vitigudino,27.573043690392808,0.005281726991896887,True
CyL,Fuentes de Oñoro,Lumbrales,38.89690078167545,0.0031295777947389332,True
