origen,destino,sp_hops,sp_dist_km,sp_skr_bottleneck,mqr_hops,mqr_dist_km,mqr_skr_bottleneck,skr_gain,hop_overhead
Lumbrales,Ólvega,12,472.8,0.0024543131108297456,22,597.6,0.0030034822654554164,1.2237567620049952,10
Lumbrales,Ledesma,2,80.3,0.0027830186155847754,5,130.8,0.004296822626851644,1.5439431855718235,3
Lumbrales,Salas de los Infantes,10,385.5,0.0024543131108297456,17,447.9,0.003985783737065429,1.6239915434905245,7
Lumbrales,Puebla de Sanabria,12,408.2,0.0023883323506676685,21,591.8,0.002595504034179046,1.086743238835023,9
Lumbrales,Villadecanes,10,350.3,0.0023883323506676685,20,534.0,0.004161695298660283,1.7425109606277633,10
Lumbrales,Peñaranda de Bracamonte,4,151.0,0.0027830186155847754,8,208.9,0.004296822626851644,1.5439431855718235,4
Lumbrales,Saldaña,8,318.2,0.0023883323506676685,16,428.9,0.004239987948882285,1.775292265206297,8
Lumbrales,Candeleda,5,163.0,0.002833277034670717,10,271.4,0.004009396556266406,1.4151092558911655,5
Lumbrales,Venta de Baños,7,252.3,0.0023883323506676685,13,353.0,0.004239987948882285,1.775292265206297,6
Lumbrales,Cubillos del Sil,10,333.7,0.0023883323506676685,19,517.3,0.004161695298660283,1.7425109606277633,9
Lumbrales,Villaquilambre,8,303.7,0.0023883323506676685,18,497.4,0.004161695298660283,1.7425109606277633,10
Lumbrales,Mozoncillo,8,303.9,0.0024543131108297456,16,426.2,0.004107009430085027,1.6733844642571065,8
Lumbrales,Burgos,10,382.0,0.0024543131108297456,18,490.9,0.004239987948882285,1.7275660265893478,8
Lumbrales,Vitigudino,1,24.8,0.00599816961388437,1,24.8,0.00599816961388437,1.0,0
Lumbrales,Zaratán,6,214.7,0.0023883323506676685,11,304.5,0.004239987948882285,1.775292265206297,5
Lumbrales,Arcos de Jalón,12,433.1,0.0024543131108297456,21,563.7,0.003378917933904848,1.3767265142313139,9
Lumbrales,Miranda de Ebro,12,460.5,0.0024543131108297456,20,552.4,0.003866989995220292,1.5755895114429608,8
Lumbrales,Aldeadávila de la Ribera,1,32.5,0.00420883662927342,2,52.6,0.005223121530800054,1.2409893732800295,1
Lumbrales,Viana de Cega,6,203.6,0.0023883323506676685,11,293.3,0.004239987948882285,1.775292265206297,5
Lumbrales,Seca (La),5,185.5,0.0023883323506676685,10,275.2,0.004239987948882285,1.775292265206297,5
Lumbrales,Roa,8,307.4,0.0024543131108297456,14,372.9,0.004239987948882285,1.7275660265893478,6
Lumbrales,Cebreros,7,229.6,0.002446867511943354,13,348.9,0.004009396556266406,1.6385834282797185,6
Lumbrales,Torquemada,8,271.5,0.0023883323506676685,14,372.1,0.004239987948882285,1.775292265206297,6
Lumbrales,Campaspero,7,275.4,0.0024543131108297456,13,340.9,0.004239987948882285,1.7275660265893478,6
Lumbrales,Traspinedo,6,225.9,0.0023883323506676685,12,316.4,0.004239987948882285,1.775292265206297,6
Lumbrales,Santovenia de la Valdoncina,8,296.9,0.0023883323506676685,18,488.7,0.004161695298660283,1.7425109606277633,10
Lumbrales,Barruelo de Santullán,10,385.3,0.0023883323506676685,23,620.1,0.004161695298660283,1.7425109606277633,13
