,Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Clustering Coefficient,Cluster
Ledesma,0.06060606060606061,0.17902350813743217,0.11458680634775965,0.01173618545530606,0.26666666666666666,0
Lumbrales,0.05050505050505051,0.13865546218487396,0.013438994492776503,0.0009053401566332206,0.4,0
Peñaranda de Bracamonte,0.06060606060606061,0.20582120582120583,0.07777119347078218,0.052740651641946176,0.6,1
Vitigudino,0.05050505050505051,0.15639810426540285,0.02245798493071885,0.0025613611192235,0.5,0
Mozoncillo,0.030303030303030304,0.18198529411764705,0.08220557317929283,0.00855546127735207,0.0,2
Cantalejo,0.04040404040404041,0.2,0.0931762660254255,0.05412149987798737,0.3333333333333333,0
Carbonero el Mayor,0.07070707070707072,0.22247191011235956,0.1587264195829838,0.1389446617737253,0.42857142857142855,0
Nava de la Asunción,0.06060606060606061,0.21475054229934923,0.021719270828757298,0.1678731765331296,0.5333333333333333,0
Campaspero,0.07070707070707072,0.2214765100671141,0.14870316102586972,0.19141606121075122,0.38095238095238093,0
San Cristóbal de Segovia,0.04040404040404041,0.19038461538461537,0.011802835612359425,0.05361694958191779,0.5,0
Ólvega,0.010101010101010102,0.11927710843373494,0.0,1.9257581895614954e-05,0.0,2
Almazán,0.030303030303030304,0.12807244501940493,0.02061430632859204,7.455349594993867e-05,0.0,2
Arcos de Jalón,0.010101010101010102,0.11366245694603903,0.0,1.027924697430873e-05,0.0,2
Berlanga de Duero,0.030303030303030304,0.14516129032258066,0.03174995112339221,0.00039077185356915653,0.3333333333333333,0
Burgo de Osma-Ciudad de Osma,0.05050505050505051,0.1652754590984975,0.06951349696101868,0.0018100154797905642,0.4,0
Soria,0.030303030303030304,0.13524590163934427,0.027619251102952876,0.00013967162314909413,0.0,2
San Leonardo de Yagüe,0.05050505050505051,0.1542056074766355,0.013987584521528687,0.0009496267612813845,0.6,1
Pedraja de Portillo (La),0.08080808080808081,0.22706422018348624,0.02866209538924156,0.32079738743202185,0.6785714285714286,1
Zaratán,0.09090909090909091,0.23459715639810427,0.06781542334012844,0.33644141880907,0.5833333333333334,0
Viana de Cega,0.07070707070707072,0.2255125284738041,0.026064752898343545,0.29645056995093544,0.8095238095238095,1
Santovenia de Pisuerga,0.09090909090909091,0.23459715639810427,0.06781542334012844,0.33644141880907,0.5833333333333334,0
Pedrajas de San Esteban,0.10101010101010102,0.23627684964200477,0.10695876513558276,0.35656215643558287,0.5333333333333333,0
Seca (La),0.09090909090909091,0.22811059907834103,0.08242396394964238,0.3194884931704424,0.5,0
Villabrágima,0.06060606060606061,0.2323943661971831,0.13746456638596072,0.15835901422251197,0.3333333333333333,0
Traspinedo,0.08080808080808081,0.23185011709601874,0.04330825777186045,0.32200880033475243,0.6785714285714286,1
Trabazos,0.010101010101010102,0.09763313609467456,0.0,1.2696806638464669e-05,0.0,2
Benavente,0.05050505050505051,0.20040485829959515,0.06883939469120805,0.01862039076303315,0.4,0
Bermillo de Sayago,0.030303030303030304,0.16808149405772496,0.009028056752328094,0.004829256780463525,0.3333333333333333,0
Villaralbo,0.030303030303030304,0.19373776908023482,0.023040382133746578,0.020534022575347654,0.3333333333333333,0
Fermoselle,0.04040404040404041,0.15372670807453417,0.010709667335253005,0.0027554425397146713,0.5,0
Fuentesaúco,0.08080808080808081,0.20842105263157895,0.17908969362366303,0.049218953960714885,0.39285714285714285,0
Puebla de Sanabria,0.020202020202020204,0.10807860262008734,0.0202020202020202,9.202852040922989e-05,0.0,2
Toro,0.06060606060606061,0.2255125284738041,0.18818201602880844,0.09488092193309178,0.26666666666666666,0
Santibáñez de Vidriales,0.030303030303030304,0.1742957746478873,0.006344298181032873,0.007063854527349269,0.6666666666666666,1
Villalpando,0.04040404040404041,0.21710526315789475,0.10580950855095454,0.043160584446572996,0.5,0
