,Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Clustering Coefficient,Cluster
Olesa de Montserrat,0.029504741833508954,0.06693468754408238,0.010171530111710745,0.19682766866747392,0.656084656084656,1
Aiguafreda,0.029504741833508954,0.0631193880944463,0.005693893310940126,0.17642558723032378,0.5793650793650794,0
Premià de Dalt,0.02107481559536354,0.0630020580229702,0.001173642874797848,0.14410340081508136,0.7578947368421053,1
Bigues i Riells,0.029504741833508954,0.06384553283100107,0.0037458990472984213,0.19309862606936024,0.6190476190476191,0
Sant Iscle de Vallalta,0.022128556375131715,0.061277200232453026,0.0016716477899858474,0.12523988166147937,0.6904761904761905,1
Sant Andreu de Llavaneres,0.02107481559536354,0.061595378723956644,0.0005193607497281761,0.13308102122177007,0.7421052631578947,1
Sant Fruitós de Bages,0.02845100105374078,0.06504900952772637,0.005830947475971248,0.17964041223535718,0.5726495726495726,0
Berga,0.01685985247629083,0.06334690608103598,0.0019799944964516963,0.060904460107085986,0.5583333333333333,0
Balsareny,0.025289778714436245,0.06504455106237149,0.008113896462791122,0.14337383256795663,0.5434782608695652,0
Subirats,0.02423603793466807,0.06765523632993513,0.003349873041555258,0.1538506532365249,0.7312252964426877,1
Badalona,0.023182297154899893,0.06376831071092595,0.0011041210396056597,0.1640203925844707,0.7359307359307359,1
Badia del Vallès,0.030558482613277132,0.06497774734679904,0.0052197453032167005,0.20799272901501434,0.6379310344827587,1
Guardiola de Berguedà,0.011591148577449946,0.06316139767054908,0.0014618063496834848,0.027916500900434963,0.6181818181818182,0
Balenyà,0.029504741833508954,0.06141599792907067,0.0026180311683118586,0.1628627369318934,0.5423280423280423,0
Cornellà de Llobregat,0.023182297154899893,0.06408265244108312,0.001128794738164882,0.15988002503898804,0.7316017316017316,1
Sant Climent de Llobregat,0.023182297154899893,0.06678395496129487,0.003096323242145845,0.15829429116919172,0.7662337662337663,1
Hostalets de Pierola (Els),0.029504741833508954,0.0677421657505889,0.013108700547834296,0.1893403658595195,0.6375661375661376,1
Sant Pere de Riudebitlles,0.02423603793466807,0.06767453469300436,0.0029708871898281013,0.15247101450481323,0.7233201581027668,1
Sant Guim de Freixenet,0.022128556375131715,0.06905333624390599,0.015693491080367605,0.10130632874272624,0.5,2
Castellar del Vallès,0.031612223393045306,0.0650311793325567,0.005154353082415145,0.2131043755864237,0.6160919540229886,0
Calldetenes,0.0273972602739726,0.061404076350695565,0.004130449547467961,0.13317321459018913,0.5261538461538462,0
Súria,0.023182297154899893,0.06506238859180036,0.0031235265363085025,0.13128196532855363,0.5541125541125541,0
Granollers,0.0273972602739726,0.06378974255562277,0.006575662986893832,0.18293661782064494,0.6584615384615384,1
Sant Antoni de Vilamajor,0.02423603793466807,0.06165941134429212,0.0010988392149372105,0.14738110330875978,0.6640316205533597,1
Sant Pere de Ribes,0.020021074815595362,0.06758777864824443,0.0018234537498640108,0.11850524693858563,0.7660818713450293,1
Capellades,0.026343519494204423,0.06769867313454131,0.004154957820991703,0.1612861569859145,0.6633333333333333,1
Casserres,0.01791359325605901,0.06339345357381429,0.004412547672411945,0.07865379805697066,0.6029411764705882,0
Castellgalí,0.030558482613277132,0.06504900952772637,0.0032623687936720667,0.19658789567740145,0.5911330049261084,0
Pallejà,0.0273972602739726,0.06528169498521015,0.001722306434953142,0.1886911733784919,0.6892307692307692,1
Bellvei,0.02107481559536354,0.0679410080183276,0.003489587873974824,0.106518317366792,0.6789473684210526,1
Moià,0.02845100105374078,0.06384553283100107,0.001991717979738886,0.1823577573549445,0.6210826210826211,0
Sant Martí Sarroca,0.023182297154899893,0.06766005988877799,0.0024161533891788657,0.1269327603278239,0.683982683982684,1
Castellví de Rosanes,0.026343519494204423,0.06686394701613471,0.003945079956119693,0.17908173987664963,0.7066666666666667,1
Palafolls,0.01791359325605901,0.06016992137966016,0.0022652271141517947,0.07626164510873432,0.6544117647058824,1
Vilafranca del Penedès,0.023182297154899893,0.06766005988877799,0.002626324532671831,0.13449018394933357,0.7056277056277056,1
Riells i Viabrea,0.025289778714436245,0.06130094955106259,0.004223537777981256,0.13306218679798892,0.6195652173913043,0
Igualada,0.02423603793466807,0.06899309342057433,0.011982014938354883,0.14525644559477444,0.6640316205533597,1
Mollet del Vallès,0.026343519494204423,0.06376402607001276,0.001650091041555996,0.18543091743432083,0.7,1
Torelló,0.02107481559536354,0.06136437116068542,0.0044097046037255856,0.0869640954094157,0.5368421052631579,0
Prats de Lluçanès,0.022128556375131715,0.061396131202691336,0.002617799121049107,0.10228071744582391,0.5380952380952381,0
Puigcerdà,0.006322444678609061,0.06163138069879205,0.0011573171459035854,0.008418490298166404,0.6666666666666666,1
Cellera de Ter (La),0.022128556375131715,0.059539494322103016,0.0013739723163530562,0.0727322958682099,0.5904761904761905,0
Sant Hilari Sacalm,0.025289778714436245,0.06023102310231023,0.0021649205588173534,0.10939806934373972,0.5797101449275363,0
Vilafant,0.0136986301369863,0.05628373168851195,3.116434845956115e-05,0.02012497756944132,0.7051282051282052,1
Banyoles,0.018967334035827184,0.057940045179803404,0.001659387141706844,0.03446032463613409,0.5882352941176471,0
Palafrugell,0.011591148577449946,0.056850176720781166,3.8435075381313815e-05,0.020125553120006925,0.8363636363636363,1
Salt,0.020021074815595362,0.05798252581413821,0.0015973308022487914,0.052360004765669786,0.6257309941520468,0
Bisbal d'Empordà (La),0.014752370916754477,0.05688425343163699,0.00025344950393829414,0.028098946583365,0.7472527472527473,1
Celrà,0.018967334035827184,0.0578835010673986,0.0011970107991153911,0.038478260929687556,0.6274509803921569,0
Port de la Selva (El),0.0073761854583772385,0.0548301363531315,3.705136356428189e-07,0.007075949826660431,0.9523809523809523,1
Riudellots de la Selva,0.020021074815595362,0.058278064357651684,0.00032088021617565155,0.06008734084354403,0.631578947368421,0
Santa Cristina d'Aro,0.0136986301369863,0.05786232546795927,1.8326439165780856e-05,0.03741092536541625,0.8205128205128205,1
Campdevànol,0.011591148577449946,0.05978705978705979,0.0001479049839893353,0.03486774494445081,0.6727272727272727,1
Camprodon,0.011591148577449946,0.059670523138833,0.001541902115463598,0.027015272751194055,0.5454545454545454,0
Olot,0.015806111696522653,0.05800378949941935,0.000827250167293019,0.044165773033245204,0.6095238095238096,0
Castelló d'Empúries,0.009483667017913592,0.054845980465815174,2.154216898086109e-06,0.01013058294683694,0.8611111111111112,1
Ullà,0.0136986301369863,0.056850176720781166,6.313943309924018e-05,0.020649709757005842,0.7435897435897436,1
Jonquera (La),0.008429926238145416,0.05640080827291097,5.6402438522615396e-05,0.008891483983665243,0.7142857142857143,1
Sils,0.02107481559536354,0.06019281999238869,0.0029623631491809267,0.07938526680221926,0.6263157894736842,0
