red,protocolo,p,S,S_std,C_median,C_median_std,C_mean,C_ci_low,C_ci_high
adif,betweenness_adaptive,0.15,0.024742268041237112,,0.0,,7.952747766437485e-05,,
adif,betweenness_adaptive,0.16,0.02268041237113402,,0.0,,7.949557226244789e-05,,
adif,betweenness_adaptive,0.17,0.018556701030927835,,0.0,,6.93924882955789e-05,,
adif,betweenness_adaptive,0.18,0.018556701030927835,,0.0,,6.93924882955789e-05,,
adif,betweenness_adaptive,0.19,0.018556701030927835,,0.0,,5.297820190825084e-05,,
adif,betweenness_adaptive,0.2,0.018556701030927835,,0.0,,4.5086769289250054e-05,,
adif,betweenness_adaptive,0.21,0.016494845360824743,,0.0,,2.6448950876204064e-05,,
adif,betweenness_adaptive,0.22,0.01443298969072165,,0.0,,2.6448950876204064e-05,,
adif,betweenness_adaptive,0.23,0.012371134020618556,,0.0,,1.6358931220969563e-05,,
adif,betweenness_adaptive,0.24,0.012371134020618556,,0.0,,1.6358931220969563e-05,,
adif,betweenness_adaptive,0.25,0.012371134020618556,,0.0,,1.6358931220969563e-05,,
adif,betweenness_adaptive,0.26,0.010309278350515464,,0.0,,1.632441356578114e-05,,
adif,betweenness_adaptive,0.27,0.010309278350515464,,0.0,,1.632441356578114e-05,,
adif,betweenness_adaptive,0.28,0.008247422680412371,,0.0,,6.556872080964053e-06,,
adif,betweenness_adaptive,0.29,0.008247422680412371,,0.0,,6.556872080964053e-06,,
adif,betweenness_adaptive,0.3,0.008247422680412371,,0.0,,6.556872080964053e-06,,
adif,betweenness_adaptive,0.31,0.008247422680412371,,0.0,,6.556872080964053e-06,,
adif,betweenness_adaptive,0.32,0.006185567010309278,,0.0,,6.556872080964053e-06,,
adif,betweenness_adaptive,0.33,0.006185567010309278,,0.0,,6.556872080964053e-06,,
adif,betweenness_adaptive,0.34,0.006185567010309278,,0.0,,6.556872080964053e-06,,
adif,betweenness_adaptive,0.35,0.006185567010309278,,0.0,,6.556872080964053e-06,,
adif,betweenness_adaptive,0.36,0.006185567010309278,,0.0,,6.556872080964053e-06,,
adif,betweenness_adaptive,0.37,0.006185567010309278,,0.0,,6.556872080964053e-06,,
adif,betweenness_adaptive,0.38,0.006185567010309278,,0.0,,6.556872080964053e-06,,
adif,betweenness_adaptive,0.39,0.006185567010309278,,0.0,,6.556872080964053e-06,,
adif,betweenness_adaptive,0.4,0.006185567010309278,,0.0,,6.556872080964053e-06,,
adif,betweenness_adaptive,0.41,0.006185567010309278,,0.0,,6.556872080964053e-06,,
adif,betweenness_adaptive,0.42,0.006185567010309278,,0.0,,6.556872080964053e-06,,
adif,betweenness_adaptive,0.43,0.006185567010309278,,0.0,,0.0,,
adif,betweenness_adaptive,0.44,0.006185567010309278,,0.0,,0.0,,
adif,betweenness_adaptive,0.45,0.006185567010309278,,0.0,,0.0,,
adif,betweenness_adaptive,0.46,0.006185567010309278,,0.0,,0.0,,
adif,betweenness_adaptive,0.47,0.006185567010309278,,0.0,,0.0,,
adif,betweenness_adaptive,0.48,0.006185567010309278,,0.0,,0.0,,
adif,betweenness_adaptive,0.49,0.006185567010309278,,0.0,,0.0,,
adif,betweenness_adaptive,0.5,0.006185567010309278,,0.0,,0.0,,
adif,random,0.0,1.0,0.0,3.657112903257548e-05,0.0,0.00035048818834806743,3.657112903257548e-05,3.657112903257548e-05
adif,random,0.01,0.985298969072165,0.0056087653894626695,,,,,
adif,random,0.02,0.9698625429553264,0.009449297054170943,,,,,
adif,random,0.03,0.9527628865979381,0.018992429217751832,,,,,
adif,random,0.04,0.9387285223367697,0.025166724792807668,,,,,
adif,random,0.05,0.9194089347079039,0.031964692203910634,1.7811672337894634e-05,4.734245264997776e-06,0.00027735686952456225,1.727653485819766e-05,1.830272770723667e-05
adif,random,0.06,0.8961168384879727,0.04589978419407308,,,,,
adif,random,0.07,0.8686048109965636,0.06286142098308892,,,,,
adif,random,0.08,0.837257731958763,0.07695644665910899,,,,,
adif,random,0.09,0.8119175257731958,0.081039538554236,,,,,
adif,random,0.1,0.7739862542955327,0.09895667997063745,7.818383458665827e-06,7.956249504883271e-06,0.00021316938640655587,6.894351013465396e-06,8.663409054808004e-06
adif,random,0.11,0.7484054982817868,0.10699890931514965,,,,,
adif,random,0.12,0.7060068728522336,0.12463644636254209,,,,,
adif,random,0.13,0.6615395189003436,0.1363958147551884,,,,,
