red,protocolo,p,S_mean,S_std,C_median_mean,C_median_std
adif,degree_adaptive,0.11,0.5905979381443299,0.03631479845872009,,
adif,degree_adaptive,0.12,0.5103917525773195,0.05580009260553107,,
adif,degree_adaptive,0.13,0.3950927835051546,0.08945782298793123,,
adif,degree_adaptive,0.14,0.2574432989690722,0.08260917825019373,,
adif,degree_adaptive,0.15,0.17942268041237114,0.07126328013910462,0.0,0.0
adif,degree_adaptive,0.16,0.11884536082474226,0.04700263999658905,,
adif,degree_adaptive,0.17,0.09406185567010308,0.0374211524495656,,
adif,degree_adaptive,0.18,0.07084536082474226,0.027334203442969062,,
adif,degree_adaptive,0.19,0.05315463917525773,0.018722239874427758,,
adif,degree_adaptive,0.2,0.03769072164948453,0.012128479320513435,0.0,0.0
adif,degree_adaptive,0.21,0.02849484536082474,0.00665810198420668,,
adif,degree_adaptive,0.22,0.021938144329896905,0.0042005217577721545,,
adif,degree_adaptive,0.23,0.018474226804123712,0.0034491585428992138,,
adif,degree_adaptive,0.24,0.017154639175257735,0.0032323163616107915,,
adif,degree_adaptive,0.25,0.01554639175257732,0.002863233869994219,0.0,0.0
adif,degree_adaptive,0.26,0.01463917525773196,0.0028644214411236713,,
adif,degree_adaptive,0.27,0.013484536082474227,0.0024119305263323315,,
adif,degree_adaptive,0.28,0.012288659793814431,0.0020602055252448327,,
adif,degree_adaptive,0.29,0.011051546391752575,0.0019673171862889176,,
adif,degree_adaptive,0.3,0.010020618556701031,0.0017007497424578375,0.0,0.0
adif,degree_adaptive,0.31,0.009484536082474227,0.0013676803259197524,,
adif,degree_adaptive,0.32,0.00841237113402062,0.001641216391103703,,
adif,degree_adaptive,0.33,0.006721649484536082,0.0012915843103806868,,
adif,degree_adaptive,0.34,0.005484536082474226,0.0012100124330821616,,
adif,degree_adaptive,0.35,0.004288659793814434,0.000808079090402698,0.0,0.0
adif,degree_adaptive,0.36,0.004164948453608248,0.000288659793814433,,
adif,degree_adaptive,0.37,0.004123711340206186,0.0,,
adif,degree_adaptive,0.38,0.004123711340206186,0.0,,
adif,degree_adaptive,0.39,0.004123711340206186,0.0,,
adif,degree_adaptive,0.4,0.004123711340206186,0.0,0.0,0.0
adif,degree_adaptive,0.41,0.004123711340206186,0.0,,
adif,degree_adaptive,0.42,0.004123711340206186,0.0,,
adif,degree_adaptive,0.43,0.004123711340206186,0.0,,
adif,degree_adaptive,0.44,0.004123711340206186,0.0,,
adif,degree_adaptive,0.45,0.003917525773195877,0.0006185567010309279,0.0,0.0
