red,protocolo,p,S,S_std,C_median,C_median_std,C_mean,C_ci_low,C_ci_high
espana,betweenness_adaptive,0.18,0.07789473684210527,,0.0,,0.00016376898396262574,,
espana,betweenness_adaptive,0.19,0.07684210526315789,,0.0,,0.00015557696680268784,,
espana,betweenness_adaptive,0.2,0.07684210526315789,,0.0,,0.00014167172974755,,
espana,betweenness_adaptive,0.21,0.07473684210526316,,0.0,,0.00013319630724361014,,
espana,betweenness_adaptive,0.22,0.06842105263157895,,0.0,,0.00012396082028157446,,
espana,betweenness_adaptive,0.23,0.06842105263157895,,0.0,,9.714819912178495e-05,,
espana,betweenness_adaptive,0.24,0.06842105263157895,,0.0,,9.10024252584207e-05,,
espana,betweenness_adaptive,0.25,0.06842105263157895,,0.0,,8.240129452125734e-05,,
espana,betweenness_adaptive,0.26,0.06526315789473684,,0.0,,7.504926479576079e-05,,
espana,betweenness_adaptive,0.27,0.05473684210526316,,0.0,,6.405026269681746e-05,,
espana,betweenness_adaptive,0.28,0.049473684210526316,,0.0,,5.058471246235585e-05,,
espana,betweenness_adaptive,0.29,0.0431578947368421,,0.0,,4.480488323339625e-05,,
espana,betweenness_adaptive,0.3,0.03894736842105263,,0.0,,4.27567106911121e-05,,
espana,betweenness_adaptive,0.31,0.037894736842105266,,0.0,,4.27567106911121e-05,,
espana,betweenness_adaptive,0.32,0.03684210526315789,,0.0,,4.02258054992986e-05,,
espana,betweenness_adaptive,0.33,0.034736842105263156,,0.0,,3.66856833389836e-05,,
espana,betweenness_adaptive,0.34,0.034736842105263156,,0.0,,3.66856833389836e-05,,
espana,betweenness_adaptive,0.35,0.02736842105263158,,0.0,,3.309781017689604e-05,,
espana,betweenness_adaptive,0.36,0.02631578947368421,,0.0,,3.184416717930555e-05,,
espana,betweenness_adaptive,0.37,0.02631578947368421,,0.0,,2.9890738420080548e-05,,
espana,betweenness_adaptive,0.38,0.02631578947368421,,0.0,,2.769639763662375e-05,,
espana,betweenness_adaptive,0.39,0.02631578947368421,,0.0,,2.2693094100480647e-05,,
