red,nodo,nombre,cb_unweighted,cb_weighted,rank_unweighted,rank_weighted
espana,Calasparra,Calasparra,0.01488884500733122,0.005144211317264898,242,613
espana,Calatayud,Calatayud,0.032955047107708385,0.1109051055296937,97,8
espana,Calldetenes,Calldetenes,0.004130449547467961,0.0034591153023613573,566,688
espana,Calzada de Calatrava,Calzada de Calatrava,0.005596476314071584,0.017880247028851156,486,355
espana,Cambados,Cambados,0.0001771805295892891,0.0001489464815284132,894,873
espana,Cambre,Cambre,0.003052883894099106,0.0052020114444251775,624,608
espana,Caminomorisco,Caminomorisco,0.005535311108509927,0.004666248727285662,488,641
espana,Campdevànol,Campdevànol,0.0001479049839893353,0.002389812949896182,901,743
espana,Campello (el),Campello (el),0.00010412966467372888,0.0010915331706037445,906,823
espana,Campezo/Kanpezu,Campezo/Kanpezu,0.02389982335325521,0.008543303410652119,159,511
espana,Campillo de Llerena,Campillo de Llerena,0.00421231576085839,0.029526972651647526,560,215
espana,Campo Lugar,Campo Lugar,0.02577186134845896,0.06505848928252257,148,42
espana,Campo Real,Campo Real,0.005941368483108288,0.030320612859194445,474,201
espana,Campo de Criptana,Campo de Criptana,0.01854750558633914,0.05501460564751704,206,66
espana,Campoo de Enmedio,Campoo de Enmedio,0.008432907383026217,0.015943942768981784,373,383
espana,Camporrobles,Camporrobles,0.03007022113512427,0.02055461445092102,108,311
espana,Campos del Río,Campos del Río,0.002100358504448988,0.0013093951883617221,698,807
espana,Camprodon,Camprodon,0.001541902115463598,4.223855446328136e-05,757,883
espana,Cangas de Onís,Cangas de Onís,0.05426435289801959,0.030954191176143665,33,188
espana,Caniles,Caniles,0.010198482498307649,0.0061090288244787985,327,577
espana,Canjáyar,Canjáyar,0.0009500135212657501,0.007956409811793894,821,528
espana,Cantalejo,Cantalejo,0.019275023941035183,0.010319545779923793,199,473
espana,Cantalpino,Cantalpino,0.0015997177219729567,0.03385531294322693,751,153
espana,Capellades,Capellades,0.004154957820991703,0.0012627104702707269,563,810
espana,Caravaca de la Cruz,Caravaca de la Cruz,0.007971246377040166,0.011319932596159404,384,458
espana,Carbajosa de la Sagrada,Carbajosa de la Sagrada,0.030040746876206538,0.0014227723608684247,109,801
espana,Carballeda de Valdeorras,Carballeda de Valdeorras,0.023921307175920493,0.015388172315517555,158,393
espana,Carboneras,Carboneras,3.304415868443821e-06,0.0,939,905
espana,Carbonero el Mayor,Carbonero el Mayor,0.08656263934181363,0.1075460289089559,7,10
espana,Carcastillo,Carcastillo,0.005787974799192032,0.055047951874724894,481,65
espana,Cardeña,Cardeña,0.022978657858879134,0.029678142214989794,169,212
espana,Cariñena,Cariñena,0.02876113762165795,0.02635463490327371,123,252
espana,Cariño,Cariño,0.00024319516842764835,0.0006958246077372139,888,838
espana,Carpio (El),Carpio (El),0.03953358257318426,0.029184618052313562,75,221
espana,Carpio de Tajo (El),Carpio de Tajo (El),0.01439938558473891,0.019207426871723735,253,334
espana,Carranque,Carranque,0.017400337463805104,0.008996812100678929,217,499
espana,Carreño,Carreño,3.7030822410406843e-06,0.006444714178371193,938,567
espana,Carrizosa,Carrizosa,0.015875522424817066,0.05262701577943471,231,74
espana,Carrión de los Condes,Carrión de los Condes,0.022198610376145053,0.011017593469474863,173,464
espana,Casar de Escalona (El),Casar de Escalona (El),0.0060534799136944895,0.0218817942937936,467,293
espana,Casares,Casares,0.0032100157935006455,0.004132709091960002,618,663
espana,Casariche,Casariche,0.001868692400442056,0.01228030393974559,718,439
espana,Casas de Benítez,Casas de Benítez,0.014149809195059839,0.044321582122865286,258,108
espana,Casas de Fernando Alonso,Casas de Fernando Alonso,0.06400453694044167,0.05839369000457955,23,55
espana,Casas-Ibáñez,Casas-Ibáñez,0.026371426173058377,0.049003392422847944,141,84
espana,Casatejada,Casatejada,0.02978339960335764,0.04495071427618679,114,106
espana,Cascante,Cascante,0.06374479477211839,0.05027054905674638,24,82
espana,Casinos,Casinos,0.009652566281615099,0.0673838328598169,341,39
espana,Caso,Caso,0.004954113924408974,0.002641021194862013,525,728
espana,Caspe,Caspe,0.02610899551588979,0.020343421678604614,143,315
espana,Casserres,Casserres,0.004412547672411945,0.01027730722546051,546,474
espana,Castañar de Ibor,Castañar de Ibor,0.04758215423151803,0.06445158794733964,51,45
espana,Castejón,Castejón,0.02196274408153785,0.0271393827835652,177,240
espana,Castellar,Castellar,0.02578131524553761,0.04663136412746262,147,100
espana,Castellar del Vallès,Castellar del Vallès,0.005154353082415145,0.01792693174694215,509,354
espana,Castellgalí,Castellgalí,0.0032623687936720667,0.014841294189308754,614,402
espana,Castellserà,Castellserà,0.02111157524078859,0.03165001578388088,185,178
espana,Castellví de Rosanes,Castellví de Rosanes,0.003945079956119693,0.022635419028691095,574,283
espana,Castelló d'Empúries,Castelló d'Empúries,2.154216898086109e-06,2.000773632471222e-05,940,892
espana,Castilleja de la Cuesta,Castilleja de la Cuesta,0.0033441861140993084,0.0006735937895986448,609,841
espana,Castillo de Bayuela,Castillo de Bayuela,0.007792062465344149,0.03606950242982842,391,145
espana,Castillo de Locubín,Castillo de Locubín,0.004703623070024038,0.01928301165339487,535,333
espana,Castril,Castril,0.0035767348166503505,0.016499713222446012,595,378
espana,Castrillón,Castrillón,0.002524629412210464,0.0,664,905
espana,Castro-Urdiales,Castro-Urdiales,0.004000392510392924,0.004248309346280562,570,657
espana,Castropol,Castropol,0.012075955485515976,0.005157549808148039,288,612
espana,Castroverde,Castroverde,0.013157305358527075,0.017360045884408638,269,367
espana,Catadau,Catadau,0.004316628388366205,0.013147305847149786,555,425
espana,Catarroja,Catarroja,0.005213302671631771,0.02058351451450116,505,309
espana,Caudete,Caudete,0.006717038889425061,0.00878784241017638,431,507
espana,Cazorla,Cazorla,0.013595038270678301,0.025187516950998832,262,264
espana,Cañada,Cañada,0.005330945572696314,0.012069111167429184,498,443
espana,Cañaveral,Cañaveral,0.024736232098072516,0.023166735582202894,155,276
espana,Cañete de las Torres,Cañete de las Torres,0.002717651666482513,0.035460378012831625,652,148
espana,Cañete la Real,Cañete la Real,0.002162696746689368,0.007056061677181843,692,551
espana,Cebolla,Cebolla,0.0005865923743938724,0.011597817822891519,853,454
espana,Cebreros,Cebreros,0.006166954713148699,0.026536927612009976,458,248
espana,Ceclavín,Ceclavín,0.0028307392070802805,0.0022319741411123413,646,752
espana,Cedeira,Cedeira,1.8045792457305418e-05,3.779239083556753e-05,930,885
espana,Cee,Cee,2.0442747646145116e-05,3.33462272078537e-05,928,887
espana,Celanova,Celanova,7.239868619186935e-05,0.009594821108606438,914,484
espana,Cella,Cella,0.041628683367546555,0.0372988666728913,69,135
espana,Cellera de Ter (La),Cellera de Ter (La),0.0013739723163530562,0.006469168078323618,774,566
espana,Celrà,Celrà,0.0011970107991153911,0.00011115409069284568,789,874
espana,Cenizate,Cenizate,0.060688348046664876,0.0460956014103231,27,103
espana,Cerdedo,Cerdedo,0.0032507458931439674,0.006584768332644178,616,563
espana,Cerro de Andévalo (El),Cerro de Andévalo (El),0.003808263731994573,0.005124203580940186,585,614
espana,Cervera de Pisuerga,Cervera de Pisuerga,0.003978351275014953,0.04131152934690303,571,117
espana,Cervo,Cervo,0.001183913834988118,0.002087473823211642,793,764
espana,Cesuras,Cesuras,0.002248251670142849,0.0006958246077372139,687,838
espana,Cheles,Cheles,0.0,0.0,943,905
espana,Chella,Chella,0.01088621181637867,0.014072107881714263,306,413
espana,Chelva,Chelva,0.07642670036682629,0.0683797735124248,14,32
espana,Chillón,Chillón,0.05817843562334887,0.004817418290627932,32,631
espana,Chinchón,Chinchón,0.017060786658107924,0.018289294082600827,221,347
espana,Chiva,Chiva,0.03305747512201874,0.004977480181225629,94,623
espana,Ciempozuelos,Ciempozuelos,0.043345546077629325,0.05905394530329505,62,53
espana,Cifuentes,Cifuentes,0.0020106471982505184,0.026710327993490816,704,246
espana,Cijuela,Cijuela,0.005192845511569031,0.006191282851591504,506,576
espana,Ciudad Rodrigo,Ciudad Rodrigo,0.004212613341704835,0.0033568535389239392,559,693
espana,Coaña,Coaña,0.007066934002165313,0.005757781897889406,418,588
espana,Cobisa,Cobisa,0.025102847170513535,0.022164125684153428,153,289
espana,Cocentaina,Cocentaina,0.004318398864087723,0.00477517973616465,554,635
espana,Codosera (La),Codosera (La),0.00011019038763150387,0.0,905,905
espana,Collado Mediano,Collado Mediano,0.008331896121778733,0.06419593353874609,375,48
espana,Colmenar,Colmenar,0.006663477812534735,0.0022164125684153426,436,753
espana,Colomera,Colomera,0.002424486350031678,0.008807850146501092,670,506
espana,Consuegra,Consuegra,0.05182407223861734,0.02164392453971091,41,296
espana,Coria,Coria,0.004696111665194189,0.004272763246232988,536,654
espana,Coristanco,Coristanco,0.003683223351149413,0.00231200508641119,592,748
espana,Cornellà de Llobregat,Cornellà de Llobregat,0.001128794738164882,1.3338490883141481e-05,803,897
espana,Coronada (La),Coronada (La),0.017502094908039282,0.030849706330892387,215,189
espana,Corral de Calatrava,Corral de Calatrava,0.003913827729910211,0.06457163436528791,576,44
espana,Corrales,Corrales,0.004785192364028361,0.005001934081178055,530,620
espana,Corrales de Buelna (Los),Corrales de Buelna (Los),0.008662310813718703,0.0019496427507525132,369,771
espana,Corte de Peleas,Corte de Peleas,0.020669783784460008,0.011366617314250399,188,456
