cod,nombre,categoria,tipo_dep,tipo_dep_cod,estado,titular,lat,lon,conectado,n_conexiones
30010,CANTAGALLO,S,Fin de línea,F,FS,AD,40.3734866576291,-5.82337710750724,NO,0
30012,NAVALMORAL DE BEJAR,S,Fin de línea,F,FS,AD,40.4233029762107,-5.78148608726778,NO,0
30013,SANCHOTELLO,S,Fin de línea,F,FS,AD,40.4378346025821,-5.73517259708926,NO,0
30014,LEDRADA,S,Fin de línea,F,FS,AD,40.4717063748311,-5.71302281664574,NO,0
30020,ALBA DE TORMES,S,Fin de línea,F,FS,AD,40.8077489878365,-5.537491446549,NO,0
81101,RECAJO,S,Túnel,T,EX,AD,42.449726921138,-2.3370253187065,SI,2
81203,RIBAFORADA,P,Túnel,T,EX,AD,41.9970828963311,-1.51522116886546,SI,2
81207,LUCENI,P,Túnel,T,EX,AD,41.826268894842,-1.24386261479161,SI,2
81208,PEDROLA (APD),P,Punto KM,P,EX,AD,41.8050316732913,-1.20198793689278,SI,2
81210,ALAGON,P,Túnel,T,EX,AD,41.7714090711544,-1.11247339717727,SI,2
81211,LA JOYOSA-TORRES (APD),S,Apartadero,Y,FS,AD,41.7506242805496,-1.07267913907808,SI,2
36001,"KM. 53,8",S,Fin de línea,F,FS,AD,39.3777186578662,-6.3814164492882,NO,0
36004,"KM. 15,5",S,Fin de línea,F,FS,AD,39.0587510129988,-6.37960587529848,NO,0
36005,PROSERPINA,S,Fin de línea,F,FS,AD,38.9946483843179,-6.38748182046564,NO,0
30001,FUENTE DUEÑAS,S,Apartadero,Y,FS,AD,39.9884107808233,-6.14705640325396,SI,2
35604,SAN JOSE DE VALDERAS,S,Estación,E,EX,AD,40.3565588012528,-3.81557992449763,SI,2
35605,ALCORCON (APD),S,Punto KM,P,EX,AD,40.3503016716014,-3.83204636856948,SI,2
35606,MOSTOLES,S,Estación,E,EX,AD,40.3285617868664,-3.86372073509857,SI,2
35610,LAS RETAMAS (APD),S,Punto KM,P,EX,AD,40.3414712018626,-3.84306975002418,SI,2
35600,ALUCHE,S,Túnel,T,EX,AD,40.3857054547665,-3.76078060794893,SI,2
35601,MAESTRA JUSTA FREIRE POLIDEP. ALUCHE,S,Punto KM,P,EX,AD,40.383672996944,-3.76863806343102,SI,2
54402,GOBANTES,S,Túnel,T,EX,AD,36.9765729552017,-4.73836648146741,SI,2
54403,EL CHORRO-CAMINITO DEL REY,P,Túnel,T,EX,AD,36.9072783802158,-4.75927816216187,SI,2
54404,LAS MELLIZAS,P,Túnel,T,EX,AD,36.8732843074413,-4.71942783430022,SI,2
54406,PIZARRA,P,Apeadero,A,EX,AD,36.7640827105734,-4.71184707220206,SI,2
54407,ALJAIMA,P,Túnel,T,EX,AD,36.7330901734134,-4.66471861729003,SI,2
54408,CARTAMA,P,Túnel,T,EX,AD,36.7337225287853,-4.60853414370394,SI,2
54512,TORREMUELLE,S,Punto KM,P,EX,AD,36.5822567093895,-4.56703527170884,SI,2
66212,VALENCIA - SANT ISIDRE,S,Apeadero,A,EX,AD,39.4526840918299,-0.405890782643348,SI,3
B4030,BIF. MONCASI,S,Bifurcación,B,EX,AV,41.6348638909454,-1.02798338852425,SI,3
10300,HERRADON-LA CAÑADA,P,Túnel,T,EX,AD,40.5993215550873,-4.49509716927381,SI,2
10400,AVILA,P,Estación,E,EX,AD,40.657174917353,-4.68331373679001,SI,3
10409,AREVALO,P,Estación,E,EX,AD,41.0470703820272,-4.7019684304168,SI,2
10410,"KM 179,9",S,Cargadero,K,FS,AD,41.1177740159885,-4.7506661333421,SI,2
10500,MEDINA DEL CAMPO,P,Estación,E,EX,AD,41.3172681821548,-4.90963384015345,SI,4
40008,ZAFRA FERIA (APD),P,Depósito,D,EX,AD,38.4245746060027,-6.40975451205202,SI,2
70607,MORATA DE JALON,P,Túnel,T,EX,AD,41.4754895230729,-1.47856667064535,SI,2
A7080,"CIM-AGUJA KM. 337,1",S,Bifurcación,B,EX,AD,41.670160637348,-0.931469825230532,SI,4
04040,ZARAGOZA DELICIAS,P,Estación,E,EX,AV,41.65868288919,-0.910774357726336,SI,4
71100,MIRAFLORES,P,Túnel,T,EX,AD,41.6324292528794,-0.866797620975822,SI,3
A7890,"MIRAFLORES-AGUJA KM. 0,9",S,Bifurcación,B,EX,AD,41.6299611408587,-0.857044254758508,SI,3
78902,COGULLADA,S,Túnel,T,EX,AD,41.675481295347,-0.855254037796416,SI,2
78007,ZARAGOZA-CORBERA ALTA,S,Túnel,T,EX,AD,41.695791899222,-0.854603597543871,SI,4
78004,SAN JUAN DE MOZARRIFAR,S,Túnel,T,EX,AD,41.7216167277251,-0.843407048782029,SI,3
78102,ALMUDEVAR,S,Túnel,T,EX,AD,41.9962811795145,-0.640068116199973,SI,2
