cod,nombre,categoria,tipo_dep,lat,lon,vecino_cod,vecino_nombre,vecino_cat,vecino_tipo_dep,vecino_lat,vecino_lon,dist_km,tipo_red,linea
A3760,"AG. KM. 160,4",S,Bifurcación,38.916738180763,-6.64269802057469,37604,GUADIANA,P,Apeadero,38.9220109433352,-6.6893129586067,4.1,Uso viaj. Interciud V>160,520-CIUDAD REAL-BADAJOZ
A3760,"AG. KM. 160,4",S,Bifurcación,38.916738180763,-6.64269802057469,B3760,BIF. SAN NICOLAS,S,Bifurcación,38.934134612193,-6.83901792515874,17.2,Uso viaj. Interciud V>160,026-PLASENCIA-BIF. SAN NICOLAS
A4309,"HUELVA-MERCANCIAS AG. KM. 107,4",S,Fin de línea,37.2520579224463,-6.93206802113588,B4310,BIFURCACION TORRE ARENILLAS,S,Bifurcación,37.2034426893981,-6.93513879959013,5.6,Uso mercancías,000-LÍNEAS Y TRAMOS AJENOS AL CUADRO DE VELOCIDADES MÁXIMAS
A5030,"ESPELUY-AGUJA KM. 338,8",S,Bifurcación,38.0021533869669,-3.80838802909341,A0300,"ESPELUY-AGUJA KM. 150,5",S,Bifurcación,37.9957726485902,-3.81203255807654,0.9,Uso resto viaj. Interciud,"404-ESPELUY-AGUJA KM. 338,8-ESPELUY-AGUJA KM. 150,5"
A5030,"ESPELUY-AGUJA KM. 338,8",S,Bifurcación,38.0021533869669,-3.80838802909341,A5031,"ESPELUY-AGUJA KM. 340,1",S,Bifurcación,38.0065269528288,-3.82278429950968,1.3,Uso resto viaj. Interciud,400-ALCAZAR SAN JUAN-CADIZ
A5030,"ESPELUY-AGUJA KM. 338,8",S,Bifurcación,38.0021533869669,-3.80838802909341,50303,MENGIBAR-LAS PALOMERAS,S,Túnel,37.9892126413489,-3.78366554158651,3.2,Uso resto viaj. Interciud,400-ALCAZAR SAN JUAN-CADIZ
A5031,"ESPELUY-AGUJA KM. 340,1",S,Bifurcación,38.0065269528288,-3.82278429950968,50400,ESPELUY,P,Túnel,38.0101319178536,-3.83228180544998,0.8,Uso resto viaj. Interciud,400-ALCAZAR SAN JUAN-CADIZ
A5031,"ESPELUY-AGUJA KM. 340,1",S,Bifurcación,38.0065269528288,-3.82278429950968,A5030,"ESPELUY-AGUJA KM. 338,8",S,Bifurcación,38.0021533869669,-3.80838802909341,1.3,Uso resto viaj. Interciud,400-ALCAZAR SAN JUAN-CADIZ
A5031,"ESPELUY-AGUJA KM. 340,1",S,Bifurcación,38.0065269528288,-3.82278429950968,A0300,"ESPELUY-AGUJA KM. 150,5",S,Bifurcación,37.9957726485902,-3.81203255807654,1.6,Uso resto viaj. Interciud,"402-ESPELUY-AGUJA KM. 340,1-JAEN"
A5040,"ALCOLEA-AGUJA KM.431,9",S,Bifurcación,37.9264910804932,-4.68768500979563,37706,CAMBIADOR ALCOLEA,S,Cruce,37.9246463891252,-4.6919785442286,0.4,Uso resto viaj. Interciud,"408-ALCOLEA AG KM 431,9-CAMBIADOR ALCOLEA"
